"","original","dir","uuid","new","old_path","new_path"
"1","GFP_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de0dd4-ce7b-11e9-b813-1338fbf71a41","e6de0dd4-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de0dd4-ce7b-11e9-b813-1338fbf71a41.tif"
"2","GFP_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de0dd5-ce7b-11e9-b813-1338fbf71a41","e6de0dd5-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de0dd5-ce7b-11e9-b813-1338fbf71a41.tif"
"3","GFP_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de0dd6-ce7b-11e9-b813-1338fbf71a41","e6de0dd6-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de0dd6-ce7b-11e9-b813-1338fbf71a41.tif"
"4","GFP_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de0dd7-ce7b-11e9-b813-1338fbf71a41","e6de0dd7-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de0dd7-ce7b-11e9-b813-1338fbf71a41.tif"
"5","GFP_C5_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de0dd8-ce7b-11e9-b813-1338fbf71a41","e6de0dd8-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C5_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de0dd8-ce7b-11e9-b813-1338fbf71a41.tif"
"6","GFP_C6_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de34e4-ce7b-11e9-b813-1338fbf71a41","e6de34e4-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C6_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e4-ce7b-11e9-b813-1338fbf71a41.tif"
"7","GFP_C7_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de34e5-ce7b-11e9-b813-1338fbf71a41","e6de34e5-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C7_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e5-ce7b-11e9-b813-1338fbf71a41.tif"
"8","GFP_C8_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs","e6de34e6-ce7b-11e9-b813-1338fbf71a41","e6de34e6-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\GFP\stacks\kymographs\GFP_C8_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e6-ce7b-11e9-b813-1338fbf71a41.tif"
"9","M2_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34e7-ce7b-11e9-b813-1338fbf71a41","e6de34e7-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e7-ce7b-11e9-b813-1338fbf71a41.tif"
"10","M2_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34e8-ce7b-11e9-b813-1338fbf71a41","e6de34e8-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e8-ce7b-11e9-b813-1338fbf71a41.tif"
"11","M2_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34e9-ce7b-11e9-b813-1338fbf71a41","e6de34e9-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34e9-ce7b-11e9-b813-1338fbf71a41.tif"
"12","M2_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34ea-ce7b-11e9-b813-1338fbf71a41","e6de34ea-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34ea-ce7b-11e9-b813-1338fbf71a41.tif"
"13","M2_C5_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34eb-ce7b-11e9-b813-1338fbf71a41","e6de34eb-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C5_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34eb-ce7b-11e9-b813-1338fbf71a41.tif"
"14","M2_C6_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34ec-ce7b-11e9-b813-1338fbf71a41","e6de34ec-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C6_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34ec-ce7b-11e9-b813-1338fbf71a41.tif"
"15","M2_C7_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34ed-ce7b-11e9-b813-1338fbf71a41","e6de34ed-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C7_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34ed-ce7b-11e9-b813-1338fbf71a41.tif"
"16","M2_C8_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs","e6de34ee-ce7b-11e9-b813-1338fbf71a41","e6de34ee-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\Mut2\stacks\kymographs\M2_C8_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de34ee-ce7b-11e9-b813-1338fbf71a41.tif"
"17","WT_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs","e6de5c4e-ce7b-11e9-b813-1338fbf71a41","e6de5c4e-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs\WT_C1_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de5c4e-ce7b-11e9-b813-1338fbf71a41.tif"
"18","WT_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs","e6de5c4f-ce7b-11e9-b813-1338fbf71a41","e6de5c4f-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs\WT_C2_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de5c4f-ce7b-11e9-b813-1338fbf71a41.tif"
"19","WT_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs","e6de5c50-ce7b-11e9-b813-1338fbf71a41","e6de5c50-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs\WT_C3_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de5c50-ce7b-11e9-b813-1338fbf71a41.tif"
"20","WT_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs","e6de5c51-ce7b-11e9-b813-1338fbf71a41","e6de5c51-ce7b-11e9-b813-1338fbf71a41.tif","C:\Users\Fiona\Desktop\030919_cnc26\WT\stacks\kymographs\WT_C4_01_W2561_T.stk_duplicate (Projected Kymograph).tif","C:\Users\Fiona\Documents\GitHub\first-year-report\data_analysis\data\CNC26_kymo_analysis\e6de5c51-ce7b-11e9-b813-1338fbf71a41.tif"
