"","original","dir","uuid","new","old_path","new_path"
"1","blind","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","0f158e52-03f0-11ec-8456-6f0ddde34ae7","0f158e52-03f0-11ec-8456-6f0ddde34ae7.","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/blind","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/0f158e52-03f0-11ec-8456-6f0ddde34ae7."
"2","cell_counter","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","672dfada-1fb0-4466-bd54-7578d94f2362","672dfada-1fb0-4466-bd54-7578d94f2362.","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/cell_counter","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/672dfada-1fb0-4466-bd54-7578d94f2362."
"3","desktop.ini","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","dcfafeac-6241-43a0-91d0-80f5c3dc63d4","dcfafeac-6241-43a0-91d0-80f5c3dc63d4.ini","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/desktop.ini","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/dcfafeac-6241-43a0-91d0-80f5c3dc63d4.ini"
"4","ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","df658bc0-34b0-4890-80ad-1bd30395b2c7","df658bc0-34b0-4890-80ad-1bd30395b2c7.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C1_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/df658bc0-34b0-4890-80ad-1bd30395b2c7.tif"
"5","ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","b4436bf4-3651-42de-a9fe-95e1f8fd43fe","b4436bf4-3651-42de-a9fe-95e1f8fd43fe.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C10_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/b4436bf4-3651-42de-a9fe-95e1f8fd43fe.tif"
"6","ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","a7790263-a4e6-4381-a02f-807d0c1db76b","a7790263-a4e6-4381-a02f-807d0c1db76b.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C2_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/a7790263-a4e6-4381-a02f-807d0c1db76b.tif"
"7","ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","088a85eb-1812-40c0-b26c-9ea127ba85b7","088a85eb-1812-40c0-b26c-9ea127ba85b7.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C3_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/088a85eb-1812-40c0-b26c-9ea127ba85b7.tif"
"8","ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","ca99e291-9013-4044-97e3-aa250427a87c","ca99e291-9013-4044-97e3-aa250427a87c.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C4_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/ca99e291-9013-4044-97e3-aa250427a87c.tif"
"9","ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","5632617c-0909-44d2-8660-28f56be41c5c","5632617c-0909-44d2-8660-28f56be41c5c.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C5_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/5632617c-0909-44d2-8660-28f56be41c5c.tif"
"10","ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections","6b0febb0-78fd-4201-b661-194526ade352","6b0febb0-78fd-4201-b661-194526ade352.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections/ER_C6_w2491 BP.TIF_MAX.tif_DENDRITE.tif","C:\Users\fl299\PhD\Data\Mine\Spinning Disc\140721_cnc80_dendrites\max_projections\GFP\dendrite_sections\blind/6b0febb0-78fd-4201-b661-194526ade352.tif"
